Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
6075016801,"Census Tract 168.01, San Francisco County, California",ACSSF,ca,140,0,9953,,,,,6,75,,,16801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075016801,Census Tract 168.01,,,,4243,48510.68,0.08746527
6075016802,"Census Tract 168.02, San Francisco County, California",ACSSF,ca,140,0,9954,,,,,6,75,,,16802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075016802,Census Tract 168.02,,,,3709,44624.89,0.083115057
6075016900,"Census Tract 169, San Francisco County, California",ACSSF,ca,140,0,9955,,,,,6,75,,,16900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075016900,Census Tract 169,,,,3132,27517.45,0.113818674
6075017000,"Census Tract 170, San Francisco County, California",ACSSF,ca,140,0,9956,,,,,6,75,,,17000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075017000,Census Tract 170,,,,4375,24131.37,0.181299296
6075017101,"Census Tract 171.01, San Francisco County, California",ACSSF,ca,140,0,9957,,,,,6,75,,,17101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075017101,Census Tract 171.01,,,,4249,35118,0.120992066
6075017102,"Census Tract 171.02, San Francisco County, California",ACSSF,ca,140,0,9958,,,,,6,75,,,17102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075017102,Census Tract 171.02,,,,3671,32241.57,0.113859215
6075017602,"Census Tract 176.02, San Francisco County, California",ACSSF,ca,140,0,9959,,,,,6,75,,,17602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075017602,Census Tract 176.02,,,,3218,30504.46,0.105492767
6075017603,"Census Tract 176.03, San Francisco County, California",ACSSF,ca,140,0,9960,,,,,6,75,,,17603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075017603,Census Tract 176.03,,,,4509,46966.45,0.096004692
6075017604,"Census Tract 176.04, San Francisco County, California",ACSSF,ca,140,0,9961,,,,,6,75,,,17604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075017604,Census Tract 176.04,,,,2856,66210.81,0.043134949
6075017700,"Census Tract 177, San Francisco County, California",ACSSF,ca,140,0,9962,,,,,6,75,,,17700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075017700,Census Tract 177,,,,1989,5698.055,0.349066482
